44.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;NBA,INFO;SYSTEM,FINEST;VALIDATION,FINEST;VISUALFORCE,FINEST;WAVE,INFO;WORKFLOW,FINEST
14:58:25.0 (65786)|USER_INFO|[EXTERNAL]|0051f000000IdnF|sai_teja_golla@manulife-cdn.com.dev53|Eastern Standard Time|GMT-04:00
14:58:25.0 (99373)|EXECUTION_STARTED
14:58:25.0 (105596)|CODE_UNIT_STARTED|[EXTERNAL]|01p1f0000009d5K|C360_handleBusinessUnitBatch
14:58:25.0 (772224)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
14:58:25.0 (800559)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
14:58:25.0 (806235)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
14:58:25.0 (815828)|METHOD_ENTRY|[1]|01p1f0000009d5K|C360_handleBusinessUnitBatch.C360_handleBusinessUnitBatch()
14:58:25.0 (822008)|STATEMENT_EXECUTE|[1]
14:58:25.0 (826498)|STATEMENT_EXECUTE|[1]
14:58:25.0 (832005)|METHOD_EXIT|[1]|C360_handleBusinessUnitBatch
14:58:25.0 (839312)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:58:25.0 (843651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:58:25.0 (899130)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:58:25.0 (908110)|VARIABLE_SCOPE_BEGIN|[16]|this|C360_handleBusinessUnitBatch|true|false
14:58:25.0 (969424)|VARIABLE_ASSIGNMENT|[16]|this|{"assetIdSet":"0x35e21743","assetQuery":"Select Id,CCT_Contac (58 more) ..."}|0x49c92c03
14:58:25.0 (978230)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
14:58:25.0 (1103552)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"7071f000001A5rsAAC","jobId":"7071f000001A5kKAAS"}|0x4f65127f
14:58:25.0 (1113580)|VARIABLE_SCOPE_BEGIN|[16]|Scope|List<SObject>|true|false
14:58:25.0 (1164763)|VARIABLE_ASSIGNMENT|[16]|Scope|[{"Id":"02i1f000000mN54AAE","CCT_Contact_Center_BU__c":"MLB","AccountId":"0011f0000051BEqAAM"}]|0x568a322e
14:58:25.0 (1187480)|STATEMENT_EXECUTE|[16]
14:58:25.0 (1190753)|STATEMENT_EXECUTE|[17]
14:58:25.0 (1235224)|HEAP_ALLOCATE|[17]|Bytes:4
14:58:25.0 (1270975)|SYSTEM_CONSTRUCTOR_ENTRY|[17]|<init>()
14:58:25.0 (1301419)|SYSTEM_CONSTRUCTOR_EXIT|[17]|<init>()
14:58:25.0 (1308949)|VARIABLE_SCOPE_BEGIN|[17]|custAccntList|List<Account>|true|false
14:58:25.0 (1320952)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
